Provider Number,Facility Name,County,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Percent of Adult HD patients with Kt/V >= 1.2,Number of adult HD patients with KT/V data,Mortality Rate (Facility),Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Number of patients included in hospitalization summary,No. of hospitalization with hospital readmission summary,Number of Patients included in survival summary,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,PPPW category text,Patient Transfusion category text,Fistula Category Text,Patient Infection category text,Patient Hospital Readmission Category,Patient Survival Category Text,Patient hospitalization category text
12533,DAVITA WALKER COUNTY DIALYSIS,WALKER,Profit,DAVITA,13,100,43,28.1,35,49,449,52,472,38,76,157,47,47,433,0,0,As Expected,Worse than Expected,As Expected,Worse than Expected,As Expected,As Expected,Worse than Expected
12534,BESSEMER KIDNEY CENTER,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,36,99,71,28.2,48,74,696,81,737,52,52,229,80,80,725,0,0,As Expected,Worse than Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12525,FMC WEST MOBILE,MOBILE,Profit,FRESENIUS MEDICAL CARE,20,98,84,14.4,63,88,873,90,892,71,93,306,90,90,888,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Better than Expected,As Expected
12526,RCG PRINCETON,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,34,97,107,25.2,70,111,1128,111,1110,77,111,380,111,111,1129,0,0,As Expected,Worse than Expected,Worse than Expected,Better than Expected,As Expected,As Expected,As Expected
12527,DCI ENTERPRISE,COFFEE,Non-Profit,"DIALYSIS CLINIC, INC.",26,98,59,23.6,43,61,590,64,603,46,43,216,63,63,589,1,2,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12501,DAVITA GADSDEN DIALYSIS,ETOWAH,Profit,DAVITA,24,99,45,27.8,30,47,414,49,430,37,62,176,49,49,418,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,Worse than Expected
12502,DAVITA TUSCALOOSA UNIVERSITY DIALYSIS,TUSCALOOSA,Profit,DAVITA,23,97,119,21.8,92,131,1216,140,1261,104,136,440,127,127,1172,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12505,DAVITA PDI-MONTGOMERY,MONTGOMERY,Profit,DAVITA,18,98,78,24.9,68,107,921,107,932,76,89,323,82,82,700,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12506,DAVITA DOTHAN DIALYSIS,HOUSTON,Profit,DAVITA,27,98,70,29.7,60,75,625,79,655,63,81,283,82,82,659,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,Worse than Expected
12507,FMC MOBILE,MOBILE,Profit,FRESENIUS MEDICAL CARE,24,99,119,24.9,77,123,1133,125,1172,88,80,374,126,126,1175,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12528,FMC CAHABA VALLEY,SHELBY,Profit,FRESENIUS MEDICAL CARE,24,98,68,20.8,43,68,583,72,588,53,46,207,72,72,595,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12529,DAVITA FLORENCE DIALYSIS,LAUDERDALE,Profit,DAVITA,18,99,89,24.9,105,130,1158,139,1202,112,136,489,99,99,873,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12530,RAI EAST 11TH ST ANNISTON,CALHOUN,Profit,INDEPENDENT,21,95,82,31.5,61,84,789,90,819,71,84,309,89,89,813,1,3,As Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,As Expected
12306,CHILDRENS HOSPITAL DIALYSIS,JEFFERSON,Non-Profit,INDEPENDENT,7,0,1,0,2,1,5,3,10,12,9,65,2,2,8,14,74,As Expected,Not Available,Not Available,Not Available,Not Available,Not Available,As Expected
12500,FMC CAPITOL CITY,MONTGOMERY,Profit,FRESENIUS MEDICAL CARE,34,99,126,22.4,84,128,1206,137,1225,102,91,404,138,138,1277,0,0,As Expected,As Expected,Worse than Expected,Better than Expected,As Expected,As Expected,As Expected
12516,DSI SOUTH DIALYSIS,JEFFERSON,Profit,DIVERSIFIED SPECIALTY INSTITUTES (DSI),20,98,52,26.1,42,60,581,63,601,46,51,203,54,54,539,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12517,DAVITA ATHENS DIALYSIS,LIMESTONE,Profit,DAVITA,12,97,89,31.4,68,95,796,99,820,78,90,346,99,99,829,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12519,FMC SCOTTSBORO,JACKSON,Profit,FRESENIUS MEDICAL CARE,21,98,82,23.0,58,87,780,90,822,68,65,269,89,89,809,1,5,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12520,FRESENIUS KIDNEY CARE TROY,PIKE,Profit,FRESENIUS MEDICAL CARE,21,99,69,23.1,51,72,685,76,727,57,48,203,76,76,729,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12521,DCI DOTHAN,HOUSTON,Non-Profit,"DIALYSIS CLINIC, INC.",33,98,115,21.4,113,153,1406,167,1502,133,163,517,126,126,1146,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12522,FMC HUNTSVILLE,MADISON,Profit,FRESENIUS MEDICAL CARE,31,96,65,21.6,50,67,588,72,605,57,51,252,71,71,608,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12523,DAVITA PHENIX CITY DIALYSIS CENTER,RUSSELL,Profit,DAVITA,20,98,81,30.7,60,91,830,95,860,73,71,336,87,87,760,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12524,FMC EAST MOBILE,MOBILE,Profit,FRESENIUS MEDICAL CARE,29,98,95,28.8,127,199,1708,212,1773,143,151,558,133,133,1131,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12531,FMC JACKSON (TOMBIGBEE),CLARKE,Profit,FRESENIUS MEDICAL CARE,25,96,82,25.3,79,110,976,115,1029,87,72,333,99,99,860,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12532,DCI EUFAULA,BARBOUR,Non-Profit,"DIALYSIS CLINIC, INC.",14,98,56,27.9,39,56,541,60,564,48,31,185,60,60,564,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12579,FMC DAUPHIN ISLAND PKWY,MOBILE,Profit,FRESENIUS MEDICAL CARE,20,97,83,18.9,59,91,854,93,878,67,84,282,93,93,886,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected
12580,FMC THOMASVILLE,CLARKE,Profit,FRESENIUS MEDICAL CARE,20,96,51,21.2,43,53,479,56,477,47,37,191,55,55,484,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12582,FMC WILCOX,WILCOX,Profit,FRESENIUS MEDICAL CARE,10,98,51,16.2,37,54,477,54,476,43,35,162,54,54,492,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12583,DAVITA BESSEMER DIALYSIS,JEFFERSON,Profit,DAVITA,16,99,56,26.8,35,57,489,60,498,40,25,178,63,63,507,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12585,DAVITA ENSLEY DIALYSIS,JEFFERSON,Profit,DAVITA,24,100,95,24.3,72,100,922,107,965,81,59,323,107,107,968,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12588,DAVITA SYLACAUGA DIALYSIS,TALLADEGA,Profit,DAVITA,18,100,42,31.9,38,51,472,53,492,41,51,207,45,45,403,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12594,DAVITA BOAZ DIALYSIS,MARSHALL,Profit,DAVITA,12,100,59,17.3,51,59,522,61,540,56,85,203,61,61,541,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12595,RCG FORT PAYNE,UNKNOWN,Profit,FRESENIUS MEDICAL CARE,24,98,59,21.3,52,67,598,74,653,60,59,235,68,68,564,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12596,FKC MONTGOMERY,MONTGOMERY,Profit,FRESENIUS MEDICAL CARE,33,95,129,21.1,99,133,1313,142,1357,110,142,443,141,141,1347,0,0,As Expected,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected
12566,FMC SYLACAUGA,TALLADEGA,Profit,FRESENIUS MEDICAL CARE,12,97,41,26.8,32,42,394,47,417,40,38,166,45,45,411,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12568,FMC PARKWAY,MADISON,Profit,FRESENIUS MEDICAL CARE,15,98,54,29.8,41,56,530,57,538,48,56,215,57,57,547,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12570,DAVITA NORTHORT DIALYSIS,TUSCALOOSA,Profit,DAVITA,14,99,84,25.5,64,87,747,89,755,72,91,295,93,93,792,0,0,As Expected,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected
12571,DCI GEORGIANA,BUTLER,Non-Profit,"DIALYSIS CLINIC, INC.",10,96,27,16.7,22,27,281,27,281,27,45,118,27,27,274,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12572,FMC CAMELLIA,BUTLER,Profit,FRESENIUS MEDICAL CARE,21,96,75,28.2,58,77,697,81,689,68,69,283,85,85,711,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12573,DCI BIRMINGHAM,JEFFERSON,Non-Profit,"DIALYSIS CLINIC, INC.",16,99,40,17.7,33,44,411,47,439,35,29,164,47,47,441,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12535,DAVITA PDI-PRATTVILLE,AUTAUGA,Profit,DAVITA,16,99,62,21.2,47,64,567,64,565,53,62,232,65,65,575,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12536,FMC MONTCLAIR,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,24,98,61,17.2,50,65,608,69,634,52,74,217,69,69,642,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12537,FMC PRICHARD,MOBILE,Profit,FRESENIUS MEDICAL CARE,25,98,100,26.3,66,108,986,110,1031,75,79,327,112,112,1043,1,1,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12538,RCG ANDALUSIA,COVINGTON,Profit,FRESENIUS MEDICAL CARE,21,98,63,21.3,57,73,618,79,656,69,113,246,70,70,536,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12540,FMC MONROEVILLE (WHETSTONE),MONROE,Profit,FRESENIUS MEDICAL CARE,20,94,66,25.1,60,76,721,81,759,64,55,230,76,76,703,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12541,FMC DADEVILLE,TALLAPOOSA,Profit,FRESENIUS MEDICAL CARE,15,96,52,15.6,40,52,556,53,565,43,26,195,53,53,571,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
12542,DAVITA RAINBOW CITY DIALYSIS,ETOWAH,Profit,DAVITA,16,99,51,28.1,44,72,598,77,637,53,60,241,55,55,482,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12543,DAVITA DEMOPOLIS DIALYSIS,MARENGO,Profit,DAVITA,15,100,63,32.7,52,67,630,73,656,57,53,262,68,68,614,0,0,As Expected,As Expected,Worse than Expected,Better than Expected,As Expected,Worse than Expected,As Expected
12589,DAVITA BIRMINGHAM NORTH DIALYSIS,JEFFERSON,Profit,DAVITA,24,99,87,22.6,61,96,940,96,977,65,58,290,97,97,982,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12590,DCI MOULTON,LAWRENCE,Non-Profit,"DIALYSIS CLINIC, INC.",12,95,33,28.5,28,34,316,38,346,32,31,148,35,35,330,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12591,"NNA OF ALABAMA, INC",SHELBY,Profit,FRESENIUS MEDICAL CARE,24,94,62,20.4,48,65,572,66,570,55,61,212,66,66,588,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12592,DAVITA BIRMINGHAM CENTRAL DIALYSIS,JEFFERSON,Profit,DAVITA,32,99,85,26.8,58,85,791,87,815,62,59,259,87,87,813,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12593,FMC ODYSSEY DIALYSIS,MADISON,Profit,FRESENIUS MEDICAL CARE,15,97,60,20.5,51,62,529,67,537,56,48,213,67,67,546,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12508,DAVITA BIRMINGHAM EAST DIALYSIS,JEFFERSON,Profit,DAVITA,20,97,63,32.3,44,63,533,70,543,52,61,271,70,70,545,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12509,FMC NORTH ALABAMA,MADISON,Profit,FRESENIUS MEDICAL CARE,22,95,76,29.2,53,77,723,78,718,59,60,257,79,79,741,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12512,FMC SELMA,DALLAS,Profit,FRESENIUS MEDICAL CARE,26,98,74,21.5,71,85,842,91,863,74,69,290,83,83,799,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
