Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
CHILDRENS HOSPITAL DIALYSIS,12306,BIRMINGHAM,35,1.50%,NOT A CHAIN
FMC CAPITOL CITY,12500,MONTGOMERY,43,1.00%,FRESENIUS MEDICAL CARE
GADSDEN DIALYSIS,12501,GADSDEN,42,1.00%,DAVITA
TUSCALOOSA UNIVERSITY DIALYSIS,12502,TUSCALOOSA,54,0.50%,DAVITA
PCD MONTGOMERY,12505,MONTGOMERY,62,0.00%,DAVITA
DOTHAN DIALYSIS,12506,DOTHAN,79,0.00%,DAVITA
FMC MOBILE,12507,MOBILE,62,0.00%,FRESENIUS MEDICAL CARE
BIRMINGHAM EAST DIALYSIS,12508,BIRMINGHAM,45,1.00%,DAVITA
FMC NORTH ALABAMA,12509,HUNTSVILLE,77,0.00%,FRESENIUS MEDICAL CARE
FMC SELMA,12512,SELMA,54,0.50%,FRESENIUS MEDICAL CARE
FMC LANGDALE,12513,VALLEY,75,0.00%,FRESENIUS MEDICAL CARE
FMC OPELIKA,12515,OPELIKA,82,0.00%,FRESENIUS MEDICAL CARE
DSI SOUTH DIALYSIS,12516,BIRMINGHAM,62,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DVA HEALTHCARE RENAL CARE INC,12517,ATHENS,53,0.50%,DAVITA
FMC SCOTTSBORO,12519,SCOTTSBORO,64,0.00%,FRESENIUS MEDICAL CARE
FMC TROY,12520,TROY,63,0.00%,FRESENIUS MEDICAL CARE
DCI DOTHAN,12521,DOTHAN,65,0.00%,"DIALYSIS CLINIC, INC."
FMC HUNTSVILLE,12522,HUNTSVILLE,57,0.50%,FRESENIUS MEDICAL CARE
PHENIX CITY DIALYSIS,12523,PHENIX CITY,64,0.00%,DAVITA
FMC EAST MOBILE,12524,MOBILE,36,1.50%,FRESENIUS MEDICAL CARE
FMC WEST MOBILE,12525,MOBILE,69,0.00%,FRESENIUS MEDICAL CARE
RCG PRINCETON,12526,BIRMINGHAM,41,1.00%,FRESENIUS MEDICAL CARE
DCI ENTERPRISE,12527,ENTERPRISE,68,0.00%,"DIALYSIS CLINIC, INC."
FMC CAHABA VALLEY,12528,PELHAM,78,0.00%,FRESENIUS MEDICAL CARE
FLORENCE DIALYSIS,12529,FLORENCE,62,0.00%,DAVITA
RAI EAST 11TH ST ANNISTON,12530,ANNISTON,64,0.00%,NOT A CHAIN
FMC JACKSON (TOMBIGBEE),12531,JACKSON,69,0.00%,FRESENIUS MEDICAL CARE
DCI EUFAULA,12532,EUFAULA,88,0.00%,"DIALYSIS CLINIC, INC."
WALKER COUNTY DIALYSIS,12533,JASPER,44,1.00%,DAVITA
BESSEMER KIDNEY CENTER,12534,BESSEMER,69,0.00%,FRESENIUS MEDICAL CARE
PCD PRATTVILLE,12535,PRATTVILLE,52,0.50%,DAVITA
