"Provider Number","Facility Name",County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Percent of Adult HD patients with Kt/V >= 1.2","Number of adult HD patients with KT/V data","Number of patients included in the transfusion summary","Number of patients in hypercalcemia summary","Number of patient-months in hypercalcemia summary","Number of patients in Serum phosphorus summary","Number of patient-months in Serum phosphorus summary","Number of patients included in hospitalization summary","No. of hospitalization with hospital readmission summary","Number of Patients included in survival summary","Number of Patients included in fistula summary","Number of patients in long term catheter summary","Number of patient months in long term catheter summary","Number of patients in nPCR summary","Number of patient-months in nPCR summary","PPPW category text","Patient Transfusion category text","Fistula Category Text","Patient Infection category text","Patient Hospital Readmission Category","Patient Survival Category Text","Patient hospitalization category text"
12306,"CHILDRENS HOSPITAL DIALYSIS",JEFFERSON,Non-Profit,INDEPENDENT,7,0,1,2,1,5,3,10,12,9,65,2,2,8,14,74,"As Expected","Not Available","Not Available","Not Available","Not Available","Not Available","As Expected"
12500,"FMC CAPITOL CITY",MONTGOMERY,Profit,"FRESENIUS MEDICAL CARE",34,99,126,84,128,1206,137,1225,102,91,404,138,138,1277,0,0,"As Expected","As Expected","Worse than Expected","Better than Expected","As Expected","As Expected","As Expected"
12501,"DAVITA GADSDEN DIALYSIS",ETOWAH,Profit,DAVITA,24,99,45,30,47,414,49,430,37,62,176,49,49,418,0,0,"As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected","Worse than Expected"
12502,"DAVITA TUSCALOOSA UNIVERSITY DIALYSIS",TUSCALOOSA,Profit,DAVITA,23,97,119,92,131,1216,140,1261,104,136,440,127,127,1172,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12505,"DAVITA PDI-MONTGOMERY",MONTGOMERY,Profit,DAVITA,18,98,78,68,107,921,107,932,76,89,323,82,82,700,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12506,"DAVITA DOTHAN DIALYSIS",HOUSTON,Profit,DAVITA,27,98,70,60,75,625,79,655,63,81,283,82,82,659,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","Worse than Expected"
12507,"FMC MOBILE",MOBILE,Profit,"FRESENIUS MEDICAL CARE",24,99,119,77,123,1133,125,1172,88,80,374,126,126,1175,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12508,"DAVITA BIRMINGHAM EAST DIALYSIS",JEFFERSON,Profit,DAVITA,20,97,63,44,63,533,70,543,52,61,271,70,70,545,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12509,"FMC NORTH ALABAMA",MADISON,Profit,"FRESENIUS MEDICAL CARE",22,95,76,53,77,723,78,718,59,60,257,79,79,741,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12512,"FMC SELMA",DALLAS,Profit,"FRESENIUS MEDICAL CARE",26,98,74,71,85,842,91,863,74,69,290,83,83,799,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12513,"FMC LANGDALE",CHAMBERS,Profit,"FRESENIUS MEDICAL CARE",19,94,77,61,78,779,83,791,66,52,249,83,83,804,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
12515,"FMC OPELIKA",LEE,Profit,"FRESENIUS MEDICAL CARE",31,96,112,110,148,1375,155,1424,116,79,466,128,128,1188,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
12516,"DSI SOUTH DIALYSIS",JEFFERSON,Profit,"DIVERSIFIED SPECIALTY INSTITUTES (DSI)",20,98,52,42,60,581,63,601,46,51,203,54,54,539,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12517,"DAVITA ATHENS DIALYSIS",LIMESTONE,Profit,DAVITA,12,97,89,68,95,796,99,820,78,90,346,99,99,829,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12519,"FMC SCOTTSBORO",JACKSON,Profit,"FRESENIUS MEDICAL CARE",21,98,82,58,87,780,90,822,68,65,269,89,89,809,1,5,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12520,"FRESENIUS KIDNEY CARE TROY",PIKE,Profit,"FRESENIUS MEDICAL CARE",21,99,69,51,72,685,76,727,57,48,203,76,76,729,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12521,"DCI DOTHAN",HOUSTON,Non-Profit,"DIALYSIS CLINIC, INC.",33,98,115,113,153,1406,167,1502,133,163,517,126,126,1146,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12522,"FMC HUNTSVILLE",MADISON,Profit,"FRESENIUS MEDICAL CARE",31,96,65,50,67,588,72,605,57,51,252,71,71,608,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12523,"DAVITA PHENIX CITY DIALYSIS CENTER",RUSSELL,Profit,DAVITA,20,98,81,60,91,830,95,860,73,71,336,87,87,760,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12524,"FMC EAST MOBILE",MOBILE,Profit,"FRESENIUS MEDICAL CARE",29,98,95,127,199,1708,212,1773,143,151,558,133,133,1131,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12525,"FMC WEST MOBILE",MOBILE,Profit,"FRESENIUS MEDICAL CARE",20,98,84,63,88,873,90,892,71,93,306,90,90,888,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Better than Expected","As Expected"
12526,"RCG PRINCETON",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",34,97,107,70,111,1128,111,1110,77,111,380,111,111,1129,0,0,"As Expected","Worse than Expected","Worse than Expected","Better than Expected","As Expected","As Expected","As Expected"
12527,"DCI ENTERPRISE",COFFEE,Non-Profit,"DIALYSIS CLINIC, INC.",26,98,59,43,61,590,64,603,46,43,216,63,63,589,1,2,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12528,"FMC CAHABA VALLEY",SHELBY,Profit,"FRESENIUS MEDICAL CARE",24,98,68,43,68,583,72,588,53,46,207,72,72,595,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12529,"DAVITA FLORENCE DIALYSIS",LAUDERDALE,Profit,DAVITA,18,99,89,105,130,1158,139,1202,112,136,489,99,99,873,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12530,"RAI EAST 11TH ST ANNISTON",CALHOUN,Profit,INDEPENDENT,21,95,82,61,84,789,90,819,71,84,309,89,89,813,1,3,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
12531,"FMC JACKSON (TOMBIGBEE)",CLARKE,Profit,"FRESENIUS MEDICAL CARE",25,96,82,79,110,976,115,1029,87,72,333,99,99,860,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12532,"DCI EUFAULA",BARBOUR,Non-Profit,"DIALYSIS CLINIC, INC.",14,98,56,39,56,541,60,564,48,31,185,60,60,564,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12533,"DAVITA WALKER COUNTY DIALYSIS",WALKER,Profit,DAVITA,13,100,43,35,49,449,52,472,38,76,157,47,47,433,0,0,"As Expected","Worse than Expected","As Expected","Worse than Expected","As Expected","As Expected","Worse than Expected"
12534,"BESSEMER KIDNEY CENTER",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",36,99,71,48,74,696,81,737,52,52,229,80,80,725,0,0,"As Expected","Worse than Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
12535,"DAVITA PDI-PRATTVILLE",AUTAUGA,Profit,DAVITA,16,99,62,47,64,567,64,565,53,62,232,65,65,575,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
